Year,Maximum annual insurable earnings,Rate (%),Maximum annual employee premium,Maximum annual employer premium
2022,60300,1.20,723.60,1013.04
2021,56300,1.18,664.34,930.08
2020,54200,1.2,650.40,910.56
2019,53100,1.25,663.75,929.25
2018,51700,1.30,672.10,940.94 
2017,51300,1.27,651.51,912.11
2016,50800,1.52,772.16,1081.02
2015,49500,1.54,762.30,1067.22
2014,48600,1.53,743.58,1041.01
2013,47400,1.52,720.48,1008.67
2012,45900,1.47,674.73,944.62
2011,44200,1.41,623.22,872.51
2010,43200,1.36,587.52,822.53
2009,42300,1.38,583.74,817.24
2008,41100,1.39,571.29,799.81
2007,40000,1.46,584.00,817.60
2006,39000,1.53,596.70,835.38
